id,identifier,flavor_text
27,effect-spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on the attacker."
28,synchronize,"If the Pokémon is burned, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition."
29,clear-body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.
30,natural-cure,The Pokémon's status conditions are cured when it switches out.
31,lightning-rod,"The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted."
32,serene-grace,Raises the likelihood of additional effects occurring when the Pokémon uses its moves.
33,swift-swim,Boosts the Pokémon's Speed stat in rain.
34,chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.
35,illuminate,"By illuminating its surroundings, the Pokémon prevents its accuracy from being lowered."
36,trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability."
37,huge-power,Doubles the Pokémon's Attack stat.
38,poison-point,Contact with the Pokémon may poison the attacker.
39,inner-focus,The Pokémon's intense focus prevents it from flinching or being affected by Intimidate.
40,magma-armor,The Pokémon’s hot magma coating prevents it from being frozen.
41,water-veil,The Pokémon's water veil prevents it from being burned.
42,magnet-pull,Prevents Steel-type Pokémon from fleeing by pulling them in with magnetism.
43,soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.
44,rain-dish,The Pokémon gradually regains HP in rain.
45,sand-stream,The Pokémon summons a sandstorm when it enters a battle.
46,pressure,"Puts other Pokémon under pressure, causing them to expend more PP to use their moves."
47,thick-fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves."
48,early-bird,The Pokémon awakens from sleep twice as fast as other Pokémon.
49,flame-body,Contact with the Pokémon may burn the attacker.
50,run-away,Enables a sure getaway from wild Pokémon.
51,keen-eye,The Pokémon's keen eyes prevent its accuracy from being lowered.
52,hyper-cutter,"The Pokémon's prized, mighty pincers prevent other Pokémon from lowering its Attack stat."
53,pickup,"The Pokémon may pick up an item another Pokémon used during a battle. It may pick up items outside of battle, too."
54,truant,"Each time the Pokémon uses a move, it spends the next turn loafing around."
55,hustle,Boosts the Pokémon's Attack stat but lowers its accuracy.
56,cute-charm,The Pokémon may infatuate attackers that make direct contact with it.
57,plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
58,minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
59,forecast,"The Pokémon transforms with the weather to change
its type to Water, Fire, or Ice."
60,sticky-hold,The Pokémon's held items cling to its sticky body and cannot be removed by other Pokémon.
61,shed-skin,The Pokémon may cure its own status conditions by shedding its skin.
62,guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.
63,marvel-scale,The Pokémon's marvelous scales boost its Defense stat if it has a status condition.
64,liquid-ooze,The strong stench of the Pokémon's oozed liquid damages attackers that use HP-draining moves.
65,overgrow,Powers up Grass-type moves when the Pokémon's HP is low.
66,blaze,Powers up Fire-type moves when the Pokémon's HP is low.
67,torrent,Powers up Water-type moves when the Pokémon's HP is low.
68,swarm,Powers up Bug-type moves when the Pokémon's HP is low.
69,rock-head,Protects the Pokémon from recoil damage.
70,drought,Turns the sunlight harsh when the Pokémon enters a battle.
71,arena-trap,Prevents opposing Pokémon from fleeing from battle.
72,vital-spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep."
73,white-smoke,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats."
74,pure-power,"Using its pure power, the Pokémon doubles its Attack stat."
75,shell-armor,A hard shell protects the Pokémon from critical hits.
76,air-lock,Eliminates the effects of weather.
77,tangled-feet,Boosts the Pokémon's evasiveness if it is confused.
78,motor-drive,"The Pokémon takes no damage when hit by Electric-type moves. Instead, its Speed stat is boosted."
79,rivalry,"The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender."
80,steadfast,The Pokémon's determination boosts its Speed stat every time it flinches.
81,snow-cloak,Boosts the Pokémon's evasiveness in snow.
82,gluttony,"If the Pokémon is holding a Berry to be eaten when its HP is low, it will instead eat the Berry when its HP drops to half or less."
83,anger-point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat."
84,unburden,Boosts the Speed stat if the Pokémon's held item is used or lost.
85,heatproof,The Pokémon's heatproof body halves the damage taken from Fire-type moves.
86,simple,Doubles the effects of the Pokémon's stat changes.
87,dry-skin,"Restores the Pokémon's HP in rain or when it is hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves."
88,download,The Pokémon compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.
89,iron-fist,Powers up punching moves.
90,poison-heal,"If poisoned, the Pokémon has its HP restored instead of taking damage."
91,adaptability,Powers up moves of the same type as the Pokémon.
92,skill-link,Maximizes the number of times multistrike moves hit.
93,hydration,Cures the Pokémon's status conditions in rain.
94,solar-power,"In harsh sunlight, the Pokémon's Sp. Atk stat is boosted, but its HP decreases every turn."
95,quick-feet,Boosts the Speed stat if the Pokémon has a status condition.
96,normalize,"All the Pokémon’s moves become Normal type.
The power of those moves is boosted a little."
97,sniper,"If the Pokémon's attack lands a critical hit, the attack is powered up even further."
98,magic-guard,The Pokémon only takes damage from attacks.
99,no-guard,"The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land. "
100,stall,"The Pokémon is always the last to use its moves. "
101,technician,Powers up weak moves so the Pokémon can deal more damage with them.
102,leaf-guard,Prevents status conditions in harsh sunlight.
103,klutz,The Pokémon can't use any held items.
104,mold-breaker,The Pokémon's moves are unimpeded by the Ability of the target.
105,super-luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.
106,aftermath,Damages the attacker if it knocks out the Pokémon with a move that makes direct contact.
107,anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.
108,forewarn,"When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has."
109,unaware,"When attacking, the Pokémon ignores the target's stat changes."
110,tinted-lens,The Pokémon can use “not very effective” moves to deal regular damage.
111,filter,Reduces the power of supereffective attacks that hit the Pokémon.
112,slow-start,"For five turns, the Pokémon's Attack and Speed stats are halved."
113,scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves. It is also unaffected by Intimidate.
114,storm-drain,"The Pokémon draws in all Water-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted."
115,ice-body,The Pokémon gradually regains HP in snow.
116,solid-rock,Reduces the power of supereffective attacks that hit the Pokémon.
117,snow-warning,The Pokémon makes it snow when it enters a battle.
118,honey-gather,The Pokémon may gather Honey after a battle.
119,frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item."
120,reckless,Powers up moves that have recoil damage.
121,multitype,"Changes the Pokémon's type to match the plate it holds. "
122,flower-gift,"Boosts the Attack and Sp. Def stats of itself
and allies in harsh sunlight."
123,bad-dreams,Damages opposing Pokémon that are asleep.
124,pickpocket,The Pokémon steals the held item from attackers that made direct contact with it.
125,sheer-force,"Removes any additional effects from the Pokémon's moves, but increases the moves' power."
126,contrary,Reverses any stat changes affecting the Pokémon so that attempts to boost its stats instead lower them—and attempts to lower its stats will boost them.
127,unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.
128,defiant,"If the Pokémon has any stat lowered by an opposing Pokémon, its Attack stat will be boosted sharply."
129,defeatist,"Halves the Pokémon’s Attack and Sp. Atk stats
when its HP becomes half or less."
130,cursed-body,May disable a move that has dealt damage to the Pokémon.
131,healer,Sometimes cures the status conditions of the Pokémon's allies.
132,friend-guard,Reduces damage dealt to allies.
133,weak-armor,"The Pokémon's Defense stat is lowered when it takes damage from physical moves, but its Speed stat is sharply boosted."
134,heavy-metal,Doubles the Pokémon's weight.
135,light-metal,Halves the Pokémon's weight.
136,multiscale,Reduces the amount of damage the Pokémon takes while its HP is full.
137,toxic-boost,Powers up physical moves when the Pokémon is poisoned.
138,flare-boost,Powers up special moves when the Pokémon is burned.
139,harvest,May create another Berry after one is used.
140,telepathy,The Pokémon anticipates and dodges the attacks of its allies.
141,moody,"Every turn, one of the Pokémon's stats will be boosted sharply but another stat will be lowered."
142,overcoat,The Pokémon takes no damage from sandstorms. It is also protected from the effects of powders and spores.
143,poison-touch,May poison a target when the Pokémon makes contact.
144,regenerator,The Pokémon has a little of its HP restored when withdrawn from battle.
145,big-pecks,Prevents the Pokémon from having its Defense stat lowered.
146,sand-rush,Boosts the Pokémon's Speed stat in a sandstorm.
147,wonder-skin,Makes status moves more likely to miss the Pokémon.
148,analytic,Boosts the power of the Pokémon's move if it is the last to act that turn.
149,illusion,The Pokémon fools opponents by entering battle disguised as the last Pokémon in its Trainer's party.
150,imposter,The Pokémon transforms itself into the Pokémon it's facing.
151,infiltrator,"The Pokémon's moves are unaffected by the target's barriers, substitutes, and the like."
152,mummy,"Contact with the Pokémon changes the attacker’s
Ability to Mummy."
153,moxie,"When the Pokémon knocks out a target, it shows moxie, which boosts its Attack stat."
154,justified,"When the Pokémon is hit by a Dark-type attack, its Attack stat is boosted by its sense of justice."
155,rattled,"The Pokémon gets scared when hit by a Dark-, Ghost-, or Bug-type attack or if intimidated, which boosts its Speed stat."
156,magic-bounce,The Pokémon reflects status moves instead of getting hit by them.
157,sap-sipper,"The Pokémon takes no damage when hit by Grass-type moves. Instead, its Attack stat is boosted."
158,prankster,Gives priority to the Pokémon's status moves.
159,sand-force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm. "
160,iron-barbs,"Inflicts damage on the attacker upon contact with
iron barbs."
161,zen-mode,"Changes the Pokémon’s shape when HP is half
or less."
162,victory-star,Boosts the accuracy of its allies and itself.
163,turboblaze,The Pokémon's moves are unimpeded by the Ability of the target.
164,teravolt,The Pokémon's moves are unimpeded by the Ability of the target.
165,aroma-veil,Protects the Pokémon and its allies from effects that prevent the use of moves.
166,flower-veil,Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.
167,cheek-pouch,"The Pokémon's HP is restored when it eats any Berry, in addition to the Berry's usual effect."
168,protean,Changes the Pokémon's type to the type of the move it's about to use. This works only once each time the Pokémon enters battle.
169,fur-coat,Halves the damage from physical moves.
170,magician,The Pokémon steals the held item from any target it hits with a move.
171,bulletproof,Protects the Pokémon from ball and bomb moves.
172,competitive,Boosts the Pokémon's Sp. Atk stat sharply when its stats are lowered by an opposing Pokémon.
173,strong-jaw,The Pokémon's strong jaw boosts the power of its biting moves.
174,refrigerate,"Normal-type moves become Ice-type moves.
The power of those moves is boosted a little."
175,sweet-veil,Prevents the Pokémon and its allies from falling asleep.
176,stance-change,"The Pokémon changes its form to Blade Forme when
it uses an attack move and changes to Shield Forme
when it uses King’s Shield."
177,gale-wings,Gives priority to the Pokémon's Flying-type moves while its HP is full.
178,mega-launcher,Powers up pulse moves.
179,grass-pelt,Boosts the Pokémon's Defense stat on Grassy Terrain.
180,symbiosis,The Pokémon passes its held item to an ally that has used up an item.
181,tough-claws,Powers up moves that make direct contact.
182,pixilate,Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.
183,gooey,Contact with the Pokémon lowers the attacker's Speed stat.
184,aerilate,"Normal-type moves become Flying-type moves.
The power of those moves is boosted a little."
185,parental-bond,Parent and child each attacks.
186,dark-aura,Powers up each Pokémon’s Dark-type moves.
187,fairy-aura,Powers up each Pokémon’s Fairy-type moves.
188,aura-break,"The effects of “Aura” Abilities are reversed
to lower the power of affected moves."
189,primordial-sea,"The Pokémon changes the weather to nullify
Fire-type attacks."
190,desolate-land,"The Pokémon changes the weather to nullify
Water-type attacks."
191,delta-stream,"The Pokémon changes the weather to eliminate all
of the Flying type’s weaknesses."
192,stamina,Boosts the Defense stat when the Pokémon is hit by an attack.
193,wimp-out,"The Pokémon cowardly switches out when its HP
becomes half or less."
194,emergency-exit,"The Pokémon, sensing danger, switches out when its
HP becomes half or less."
195,water-compaction,Boosts the Defense stat sharply when the Pokémon is hit by a Water-type move.
196,merciless,The Pokémon's attacks become critical hits if the target is poisoned.
197,shields-down,"When its HP drops to half or less, the Pokémon's shell breaks and it becomes aggressive."
198,stakeout,Doubles the damage dealt to a target that has just switched into battle.
199,water-bubble,Lowers the power of Fire-type moves that hit the Pokémon and prevents it from being burned.
200,steelworker,Powers up Steel-type moves.
201,berserk,Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to drop to half or less.
202,slush-rush,Boosts the Pokémon's Speed stat in snow.
203,long-reach,The Pokémon uses its moves without making contact with the target.
204,liquid-voice,Sound-based moves become Water-type moves.
205,triage,Gives priority to the Pokémon's healing moves.
206,galvanize,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.
207,surge-surfer,Doubles the Pokémon's Speed stat on Electric Terrain.
208,schooling,"When it has a lot of HP, the Pokémon forms a
powerful school. It stops schooling when its HP
is low."
209,disguise,"Once per battle, the shroud that covers the Pokémon can protect it from an attack."
210,battle-bond,"When the Pokémon knocks out a target, its bond with its Trainer is strengthened, and its Attack, Sp. Atk, and Speed stats are boosted."
211,power-construct,"Other Cells gather to aid when its HP becomes
half or less. Then the Pokémon changes
its form to Complete Forme."
212,corrosion,The Pokémon can poison the target even if it's a Steel or Poison type.
213,comatose,The Pokémon is always drowsing and will never wake up. It can attack while in its sleeping state.
214,queenly-majesty,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack."
215,innards-out,"Damages the attacker landing the finishing hit
by the amount equal to its last HP."
216,dancer,"Whenever a dance move is used in battle, the Pokémon will copy the user to immediately perform that dance move itself."
217,battery,Powers up ally Pokémon's special moves.
218,fluffy,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves."
219,dazzling,"The Pokémon dazzles its opponents, making them unable to use priority moves against the Pokémon or its allies."
220,soul-heart,Boosts the Pokémon's Sp. Atk stat every time another Pokémon faints.
221,tangling-hair,Contact with the Pokémon lowers the attacker's Speed stat.
222,receiver,The Pokémon copies the Ability of a defeated ally.
223,power-of-alchemy,The Pokémon copies the Ability of a defeated ally.
224,beast-boost,"The Pokémon boosts its most proficient stat each
time it knocks out a Pokémon."
225,rks-system,"Changes the Pokémon’s type to match the
memory disc it holds."
226,electric-surge,Turns the ground into Electric Terrain when the Pokémon enters a battle.
227,psychic-surge,Turns the ground into Psychic Terrain when the Pokémon enters a battle.
228,misty-surge,Turns the ground into Misty Terrain when the Pokémon enters a battle.
229,grassy-surge,Turns the ground into Grassy Terrain when the Pokémon enters a battle.
230,full-metal-body,"Prevents other Pokémon’s moves or Abilities from
lowering the Pokémon’s stats."
231,shadow-shield,"Reduces the amount of damage the Pokémon takes
while its HP is full."
232,prism-armor,Reduces the power of supereffective attacks taken.
233,neuroforce,Powers up moves that are super effective.
234,intrepid-sword,Boosts the Pokémon’s Attack stat the first time the Pokémon enters a battle.
235,dauntless-shield,Boosts the Pokémon’s Defense stat the first time the Pokémon enters a battle.
236,libero,Changes the Pokémon's type to the type of the move it's about to use. This works only once each time the Pokémon enters battle.
237,ball-fetch,"If the Pokémon is not holding an item, it will fetch
the Poké Ball from the first failed throw
of the battle."
238,cotton-down,"When the Pokémon is hit by an attack, it scatters
cotton fluff around and lowers the Speed stat of
all Pokémon except itself."
239,propeller-tail,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.
240,mirror-armor,Bounces back only the stat-lowering effects that the Pokémon receives.
241,gulp-missile,"When the Pokémon uses Surf or Dive, it will come back
with prey. When it takes damage, it will spit out the prey
to attack."
242,stalwart,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.
243,steam-engine,Boosts the Speed stat drastically when the Pokémon is hit by a Fire- or Water-type move.
244,punk-rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.
245,sand-spit,The Pokémon creates a sandstorm when it's hit by an attack.
246,ice-scales,"The Pokémon is protected by ice scales, which halve the damage taken from special moves."
247,ripen,Ripens Berries and doubles their effect.
248,ice-face,"The Pokémon's ice head can take a physical attack as a substitute, but the attack also changes the Pokémon's appearance. The ice will be restored when it snows."
249,power-spot,Just being next to the Pokémon powers up moves.
250,mimicry,Changes the Pokémon’s type depending on the terrain.
251,screen-cleaner,"When the Pokémon enters a battle, the effects of
Light Screen, Reflect, and Aurora Veil are nullified for
both opposing and ally Pokémon."
252,steely-spirit,Powers up the Steel-type moves of the Pokémon and its allies.
253,perish-body,"When hit by a move that makes direct contact,
the Pokémon and the attacker will faint after three turns
unless they switch out of battle."
254,wandering-spirit,"The Pokémon exchanges Abilities with a Pokémon
that hits it with a move that makes direct contact."
255,gorilla-tactics,"Boosts the Pokémon’s Attack stat but only allows
the use of the first selected move."
256,neutralizing-gas,"While the Pokémon is in the battle, the effects of all other Pokémon's Abilities will be nullified or will not be triggered."
257,pastel-veil,"Protects the Pokémon and its ally Pokémon from
being poisoned."
258,hunger-switch,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of every turn."
259,quick-draw,Enables the Pokémon to move first occasionally.
260,unseen-fist,"If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself."
261,curious-medicine,"When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies."
262,transistor,Powers up Electric-type moves.
263,dragons-maw,Powers up Dragon-type moves.
264,chilling-neigh,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat."
265,grim-neigh,"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat."
266,as-one-glastrier,This Ability combines the effects of both Calyrex's Unnerve Ability and Glastrier's Chilling Neigh Ability.
267,as-one-spectrier,This Ability combines the effects of both Calyrex's Unnerve Ability and Spectrier's Grim Neigh Ability.
268,lingering-aroma,Contact with the Pokémon changes the attacker's Ability to Lingering Aroma.
269,seed-sower,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.
270,thermal-exchange,Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.
271,anger-shell,"When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats."
272,purifying-salt,The Pokémon's pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.
273,well-baked-body,"The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted."
274,wind-rider,Boosts the Pokémon's Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.
275,guard-dog,Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.
276,rocky-payload,Powers up Rock-type moves.
277,wind-power,"The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses."
278,zero-to-hero,The Pokémon transforms into its Hero Form when it switches out.
279,commander,"When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there."
280,electromorphosis,"The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses."
281,protosynthesis,Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.
282,quark-drive,Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.
283,good-as-gold,"A body of pure, solid gold gives the Pokémon full immunity to other Pokémon's status moves."
284,vessel-of-ruin,The power of the Pokémon's ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.
285,sword-of-ruin,The power of the Pokémon's ruinous sword lowers the Defense stats of all Pokémon except itself.
286,tablets-of-ruin,The power of the Pokémon's ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.
287,beads-of-ruin,The power of the Pokémon's ruinous beads lowers the Sp. Def stats of all Pokémon except itself.
288,orichalcum-pulse,Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.
289,hadron-engine,Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.
290,opportunist,"If an opponent's stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself."
291,cud-chew,"When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time."
292,sharpness,Powers up slicing moves.
293,supreme-overlord,"When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated."
294,costar,"When the Pokémon enters a battle, it copies an ally's stat changes."
295,toxic-debris,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
296,armor-tail,The mysterious tail covering the Pokémon's head makes opponents unable to use priority moves against the Pokémon or its allies.
297,earth-eater,"If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage."
298,mycelium-might,"The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target."
299,minds-eye,"The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal-type and Fighting-type moves"
300,supersweet-syrup,Lowers the evasion of opposing Pokémon by 1 stage when first sent into battle
301,hospitality,"When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP"
302,toxic-chain,The power of the Pokémon's toxic chain may badly poison any target the Pokémon hits with a move
303,embody-aspect,"The Pokémon's heart fills with memories, causing the Mask to shine and one of the Pokémon's stats to be boosted."
304,tera-shift,"When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form."
305,tera-shell,The Pokémon's shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.
306,teraform-zero,"When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero."
307,poison-puppeteer,Pokémon poisoned by Pecharunt's moves will also become confused.
