id,identifier,effect
213,light-ball,Doubles Pikachu's Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.
214,soft-sand,Held: Ground-Type moves from holder do 20% more damage.
215,hard-stone,Held: Rock-Type moves from holder do 20% more damage.
216,miracle-seed,Held: Grass-Type moves from holder do 20% more damage.
217,black-glasses,Held: Dark-Type moves from holder do 20% more damage.
218,black-belt,Held: Fighting-Type moves from holder do 20% more damage.
219,magnet,Held: Electric-Type moves from holder do 20% more damage.
220,mystic-water,Held: Water-Type moves from holder do 20% more damage.
221,sharp-beak,Held: Flying-Type moves from holder do 20% more damage.
222,poison-barb,Held: Poison-Type moves from holder do 20% more damage.
223,never-melt-ice,Held: Ice-Type moves from holder do 20% more damage.
224,spell-tag,Held: Ghost-Type moves from holder do 20% more damage.
225,twisted-spoon,Held: Psychic-Type moves from holder do 20% more damage.
226,charcoal,Held: Fire-Type moves from holder do 20% more damage.
227,dragon-fang,Held: Dragon-Type moves from holder do 20% more damage.
228,silk-scarf,Held: Normal-Type moves from holder do 20% more damage.
230,shell-bell,Held: Holder receives 1/8 of the damage it deals when attacking.
231,sea-incense,Held: Water-Type moves from holder do 20% more damage. Breeding: Marill or Azumarill beget an Azurill Egg.
232,lax-incense,Held: Holder's evasion is increased by 5%. Breeding: Wobbuffet begets a Wynaut Egg.
233,lucky-punch,Raises Chansey's critical hit ratio by two stages.
234,metal-powder,Raises Ditto's Defense and Special Defense by 50%. The boost is lost after transforming.
235,thick-club,Doubles Cubone or Marowak's Attack.
236,stick,Raises Farfetch'd's critical hit ratio by two stages.
237,red-scarf,Raises the holder's Coolness while in a contest.
238,blue-scarf,Raises the holder's Beauty while in a contest.
239,pink-scarf,Raises the holder's Cuteness while in a contest.
240,green-scarf,Raises the holder's Smartness while in a contest.
241,yellow-scarf,Raises the holder's Toughness while in a contest.
242,wide-lens,Held: Provides a 1/10 (10%) boost in accuracy to the holder.
243,muscle-band,Held: Boosts the damage of physical moves used by the holder by 10%.
244,wise-glasses,Held: Boosts the damage of special moves used by the holder by 1/10 (10%).
245,expert-belt,Held: Holder's Super Effective moves do 20% extra damage.
246,light-clay,Held: Light Screen and Reflect used by the holder last 8 rounds instead of 5.
247,life-orb,"Held: Holder's moves inflict 30% extra damage, but cost 10% max HP."
248,power-herb,Held: Both turns of a two-turn charge move happen at once. Consumed upon use.
249,toxic-orb,Held: Inflicts Toxic on the holder at the end of the turn. Activates after Poison damage would occur.
250,flame-orb,Held: Inflicts Burn on the holder at the end of the turn. Activates after Burn damage would occur.
251,quick-powder,Doubles Ditto's Speed when held. The boost is lost after transforming.
252,focus-sash,"Held: Holder survives any single-hit attack at 1 HP if at max HP, then the item is consumed."
253,zoom-lens,Held: Provides a 1/5 (20%) boost in accuracy if the holder moves after the target.
254,metronome,Held: Consectutive uses of the same attack have a cumulative damage boost of 10%. Maximum 100% boost.
255,iron-ball,"Held: Holder's Speed is halved. Negates all Ground-type immunities, and makes Flying-types take neutral damage from Ground-type moves. Arena Trap. Spikes, and Toxic Spikes affect the holder."
256,lagging-tail,Held: Holder moves last in its priority bracket.
257,destiny-knot,Held: Infatuates opposing Pokémon when holder is inflicted with infatuation.
258,black-sludge,Held: Poison-type holder recovers 1/16 (6.25%) max HP each turn. Non-Poison-Types take 1/8 (12.5%) max HP damage.
259,icy-rock,Held: Hail by the holder lasts 8 rounds instead of 5.
260,smooth-rock,Held: Sandstorm by the holder lasts 8 rounds instead of 5.
261,heat-rock,Held: Sunny Day by the holder lasts 8 rounds instead of 5.
262,damp-rock,Held: Rain Dance by the holder lasts 8 rounds instead of 5.
263,grip-claw,Held: Holder's multi-turn trapping moves last 5 turns.
264,choice-scarf,"Held: Increases Speed by 50%, but restricts the holder to only one move."
265,sticky-barb,"Held: Holder takes 1/8 (12.5%) its max HP at the end of each turn. When the holder is hit by a contact move, the attacking Pokémon takes 1/8 its max HP in damage and receive the item if not holding one."
266,power-bracer,"Held: Holder gains 4 Attack effort values, but has halved Speed in battle."
267,power-belt,"Held: Holder gains 4 Defense effort values, but has halved Speed in battle."
268,power-lens,"Held: Holder gains 4 Special Attack effort values, but has halved Speed in battle."
269,power-band,"Held: Holder gains 4 Special Defense effort values, but has halved Speed in battle."
270,power-anklet,"Held: Holder gains 4 Speed effort values, but has halved Speed in battle."
271,power-weight,"Held: Holder gains 4 HP effort values, but has halved Speed in battle."
272,shed-shell,Held: Holder can bypass all trapping effects and switch out. Multi-turn moves still cannot be switched out of.
273,big-root,"Held: Increases HP recovered from draining moves, Ingrain, and Aqua Ring by 3/10 (30%)."
274,choice-specs,"Held: Increases Special Attack by 50%, but restricts the holder to only one move."
275,flame-plate,Held: Fire-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fire.
276,splash-plate,Held: Water-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Water.
277,zap-plate,Held: Electric-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Electric.
278,meadow-plate,Held: Grass-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Grass.
279,icicle-plate,Held: Ice-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ice.
280,fist-plate,Held: Fighting-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fighting.
281,toxic-plate,Held: Posion-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Posion.
282,earth-plate,Held: Ground-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ground.
283,sky-plate,Held: Flying-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Flying.
284,mind-plate,Held: Psychic-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Psychic.
285,insect-plate,Held: Bug-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Bug.
286,stone-plate,Held: Rock-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Rock.
287,spooky-plate,Held: Ghost-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ghost.
288,draco-plate,Held: Dragon-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Dragon.
289,dread-plate,Held: Dark-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Dark.
290,iron-plate,Held: Steel-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Steel.
291,odd-incense,Held: Psychic-Type moves from holder do 20% more damage. Breeding: Mr. Mime begets a Mime Jr. Egg.
292,rock-incense,Held: Rock-Type moves from holder do 20% more damage. Breeding: Sudowoodo begets a Bonsly Egg.
293,full-incense,Held: Holder moves last in its priority bracket. Breeding: Snorlax begets a Munchlax Egg.
294,wave-incense,Held: Water-Type moves from holder do 20% more damage. Breeding: Mantine begets a Mantyke Egg.
295,rose-incense,Held: Grass-Type moves from holder do 20% more damage. Breeding: Roselia or Roserade beget a Budew Egg.
296,luck-incense,Held: Doubles the money earned from a battle. Does not stack with Amulet Coin. Breeding: Chansey and Blissey beget a Happiny Egg.
297,pure-incense,Prevents wild encounters of level lower than your party's lead Pokémon. Breeding: Chimecho begets a Chingling Egg.
303,razor-claw,Held: Raises the holder's critical hit ratio by one stage. Held by a Sneasel while levelling up at night: Holder evolves into Weavile.
304,razor-fang,Held: Damaging moves gain a 10% chance to make their target flinch. Held by a Gligar while levelling up: Holder evolves into Gliscor.
2160,linking-cord,Allows a Pokemon whose evolution is usually triggered by trading to evolve
